id--response_id	submitdate--date_submitted	lastpage--last_page	startlanguage--start_language	a03--gender:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a06--city:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a05--state/province:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a04--country:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	b02--formation_or_concentration:__please_tell_us_your_educational_background_(biology,_chemistry,_physics,_etc)	b01--please_tell_us_the_highest_degree_achieved:	b03--are_you_affiliated_with_any_institutions/groups/organizations?	b04--could_you_tell_us_which_one(s)?	b05--if_you_are_in_an_academic_institution,_what_is_your_main_occupation:__ 	c01-- __which_of_these_are_your_main_work_area?	c02--for_how_many_years_have_you_been_working_in_this_area?__ 	e01--how_do_you_perceive_research_equipment_access_inside_your_group/institution?	e03--could_you_explain_a_bit_your_previous_answer?	e02--which_of_the_following_do_you_consider_to_be_the_biggest_difficulty_in_equipment_access?	e04[sq001]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[most_used:]	e04[sq002]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[second_most_used_(if_any):]	e04[sq003]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[third_most_used_(if_any):]	e08[sq001]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_1:]	e08[sq002]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_2_(if_any):]	e08[sq003]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_3(if_any):]	e05--was_there_ever_a_need_to_change_a_project_due_to_problems_related_to_equipment_use/access?	e06--could_you_tell_us_which_equipment_caused_the_change?_(please_try_to_avoid_acronyms, _use_thermocycler_instead_of_pcr_machine).	e07--in_case_any_projects_had_to_be_changed_due_to_access/problems,_could_you_tell_us_why?	d01--do_you_use_open_technologies*_in_your_work/research/projects?__ __*any_tools,_code_or_equipment_based_on_open_source_(build,_calibration_plans,_and/or_code_freely_distributed)__ 	d04--which_ones?_(please_list_all_that_you_remember._separate_them_with_commas:_imagej,_python,_ubuntu,_openpcr,_etc)	d02--do_you_know_anyone_who_is_using_open_technologies?	d05--could_you_tell_us_what_they_are_using?_(please_list_all_that_you_remember._separate_them_with_commas:_imagej,_python,_ubuntu,_openpcr,_etc)	d03--do_you_know_any_scientific_equipment_that_is_open_source?	d06--which_ones_(please_list_all_that_you_know/remember._separate_them_with_commas:_openpcr,_openephys,_etc)	f01--would_you_consider_buying_equipment_from_new_brands?	f08--could_you_tell_us_why?	f02--would_you_consider_building_laboratory_equipment_yourself,_if_you_were_given_a_list_of_necessary_components_and_the_building_and_calibration_manuals?	f09--could_you_tell_us_why?	f03--have_you_ever_tested_equipment_from_less_known/new_brands?	f04--you_did_it_because:	f05--have_you_ever_built_laboratory_equipment_yourself?	f06--could_you_please_tell_us_a_bit_more_about_it?	f07--would_you_like_to_test_research_equipment_from_new_brands_or_distributed_under_diy_paradigm?
32			en																																						
33		3	en	female	makassar	sulawesi selatan , indonesia	makassar	etc	bachelors of science	yes		student	pharmacy	1					none	none		none	none																		
34		1	en	female	makassar	sulawesi selatan	makassar																																		
35	2019-01-18 11:30:54	8	en	male	makassar	south sulawesi	indonesia	pharmacy	phd	yes	hasanuddin university	researcher	pharmacy	18	unsatisfactory	old or broken equipments	certain types of equipment are not available	thermal cycler	none	none	western blotting equipments	fluorescence microscope	nanoinjector for drosophila	yes	western blotting equipments	equipment unavailable (other reasons than being broken)	no		no		no		maybe	as long as the equipments are reliable in giving me a reproducible data (calibrated properly)	yes	because it would be cheaper and i will know the fundamental principles of the equipments by contructing them by myself	yes	only available brand	no		yes
36		1	en	female	makasaar	sulawesi selatan	indonesia		bachelors of science																																
37			en																																						
38		3	en	male	makassar	south sulawesi	indonesia	physiotherapy	masters	yes	hasanuddin university	researcher	health	2					none	none		none	none																		
39		1	en	female																																					
40	2019-01-18 11:52:07	8	en	male	surakarta	jawa tengah	indonesia	medical	masters	yes		researcher	health	16	partially satisfactory		certain types of equipment are not available	behavioral test in animal	brain function in human	biomedical examination	animal behavior test	mobil eeg, gsr	none	yes			yes	image j, phyton	yes	image j, phyton	yes	imaje j, pyschopy	yes	if there is a better equipment	yes	to increase the quality of research	no		no		yes
41		5	en	female				pharmacist	phd	no		researcher	pharmacy	10	partially satisfactory		too many users for a small number of equipment/tools	hplc	none	none	uplc	mass spectrophotometer	elisa reader	no			no		no		no										
42	2019-01-18 12:19:15	8	en	female	makassar	south sulawesi	indonesia	public health	phd	yes	unhas	researcher	health	13	unsatisfactory	we have not many research equipment in our institution. the existing is also can be accessed by particular people only 	certain types of equipment are not available	spectrophotometer	autoclave	none	atomic absorpbtion spectrometer	elisa reader	spectrophotometer	yes	aas	equipment unavailable (other reasons than being broken)	no		no		no		yes	brand with higher quality but lower in price	yes	will be cheaper	no		no		yes
43	2019-01-18 12:33:15	8	en	male	gamboa		panamá	engineering, filmmaking, interaction design	phd	no		non-administrative/non-academic work	other	9	satisfactory	"i just started my own organization (like a week ago) , so all the equipment is just my own.

i did however just quit my job as a professor at nus with a large part because equipment was incredibly hard to get access to. like any ""makerspace"" on campus was pretty much inaccessible to general students and even professors!"		laptop+microcontroller	soldering station	dremel	laser cutter	high end 3d printer (or suite of them that printed different substrate like resin, filament, paper)	water jet cutter	yes	my old workplace wouldn't let us use their 3d printers or laser cutters, so we had to make all our projects for interaction design with the singapore zoo with hand tools	equipment unavailable (other reasons than being broken)	yes	arduino, uarm	yes	opendrop, arduino, open bci, ubuntu, lots of small bespoke diy projects that get released openly	yes	open drop, that open source pipetting machine, openbci	yes	most of our stuff is new tech anyway	yes	yeah that's basically the function of our lab	yes	looking for affordable option	yes	all kinds of projects for physically interacting with wild animals	yes
44		1	en																																						
45			en																																						
46	2019-01-18 12:59:01	8	en				germany	biology	phd	yes	university	professor	other	26	satisfactory			microscopes	none	none	better microscopes	none	none	no			yes	python, fiji, 3d printing, arduino	yes	python, fiji, 3d printing, arduino	no		maybe	"established brands may not necessary have the best solutions (sticking to their business model)
new brands may not yet reached required levels of reliability, support, precision "	yes	why not?	no		yes	more in terms of re-configuring / altering / expanding products from established brands	yes
47		3	en	female	paris	ille de france	france	biology	phd	yes	icm	researcher	biology	6					none	none		none	none																		
48	2019-01-18 13:51:21	8	en	male	paris	paris	france	biology	phd	yes	icm_paris	researcher	biology	10	satisfactory			2photon scope	electrophysiology setup	picospritzer	micromanipulator 	electrical stimulator 	motorized microscope stage	i wouldn't know			yes	 imagej, python, ubuntu, r, inkscape, gimp, suite2p, deeplabcut	i wouldn't know		yes	openpcr, openephys, openspritzer 	yes	yes,only if the equipment is superior in quality, post sales service and in terms of software adaptability. also, if the knowledge required to diy is way out of my capabilities.	yes	i want to have as much control over the setups as possible.  	no		no		yes
49	2019-01-18 14:25:53	8	en	male	mainz	rheinland-pfalz	germany	molecular biology, neuroscience	masters	yes	neurowissenschaftliche gesselschaft (nwg), international max planck research school for neurosciences	student	other	2	partially satisfactory	unlimited access to available equipment. available equipment is quite satisfactory in terms of variety and quality (cutting-edge research equipment). a workshop that can build desired equipment however neither very flexible nor fast. however not a very favourable environment for one's ability to self-create equipment ideas.	certain types of equipment are not available	two-photon microscope	animal behavioural paradigms	confocal microscope	electrophysiology set-up	an open loop animal behavioural paradigm under a two photon microscope	an optogenetics equipment for behavioural paradigms	i wouldn't know			yes	imagej, python, firefox, inkscape	yes	imagej, python, firefox, inkscape, ubuntu	no		maybe	without proper instructions it is very hard to build equipment, especially if you have a weak background in electronics. however with clear instruction sheets i would love to do all my equipment myself. it is also very fun and stimulating learning experience.	yes	first of all, it is way cheaper to build and also to maintain the equipment. it is also very fun and stimulating learning experience. 	yes	looking for affordable option	yes	i am trying to build an animal behavioral paradigm with leds. i am using rapsberry-pi and some websites for how to build such equipment.	yes
50		3	en	male				pharmaceutical sciences	masters	yes		researcher	pharmacy	9					none	none		none	none																		
51		3	en	female	makassar	indonesia		pharmacist	bachelors of science	no		student	pharmacy	4					none	none		none	none																		
52	2019-01-18 15:05:13	8	en	female	princeton	nj	united states	biology	phd	yes	princeton university	researcher	biology	10	satisfactory	there are thing that i want that i cannot afford, but for the most part there are cores that do what i need or i can buy what i need out of my budget. i do wish that there was a way to borrow more things for preliminary experiments. also every once in a while there is a real problem ore headache. 		pipets/ consumables/ general molecular bio stuff 	fly pads/dissecting scopes etc	confocal microscopes	light sheet microscope (ideally a lattice light sheet)	state of the art dna/rna sequencing machine like the new pacbio	liquid handling robot like a qiacube	yes	resource availability guides all project choices... 	equipment unavailable (other reasons than being broken)	yes	"imagej, python, r, small 3d printer blueprints,

physically, only little things like 3d printable adaptors or magnetic tube racks. i'm too chicken to undertake building an open source microscope even though i really want to."	yes	 imagej, python, r, micro-manager,	yes	openspim,	maybe	depends on the expense, type of equipment, and ability to demo. i'd be nervous about buying something big and expensive from someone without a reputation in the field. i'd also be concerned about what happens if the company folds and i need techincal support.	no	i would be willing to build something small, but if the components start to become expensive and the build would take more than a week or so i start to doubt my own abilities. i've watched more than one neighboring lab get caught in a cycle of constantly trying to fix/finish their fancy custom built scopes. it's like being a hobby mechanic, people overestimate their abilities, sink absurd amounts of time and money into a project and end up with something that never really runs quite right.  	yes	looking for affordable option	no		yes
53		3	en	female				biology 	phd	yes		professor	biology	15					none	none		none	none																		
54	2019-01-18 15:15:51	8	en	male			italy	neuroscience, rehabilitation engineering, biorobotics	phd	yes	scuola superiore sant'anna	researcher	engineering	3	satisfactory	we have all the tools and software i have needed so far. whatever is not available, can usually be bought within 2 or 3 months.		computer	robotic hand	data acquisition board	data acquisition board (daq)	none	none	no			yes	firefox	yes	python, ubuntu, firefox, ros	yes	imagej	yes	if it seems to be able to do the job better and/or at a lower cost and/or more sustainably (longer lifetime, ethically sourced materials, repairability, modularity)	yes	i work in an institute full of engineers, we build stuff ourselves every day	yes	just to try out new things	yes	very simple electronic equipment for testing (human) subjects' control of a robotic hand	no
55	2019-01-18 15:19:08	8	en	female	delhi		india	computer science	bachelors of science	yes		student	computer science	4	satisfactory	fuctional labs, linux machines, arduinos, rasp pi		desktop pc	none	none	mac pc	none	none	no			yes	ubuntu, python, grafana, influxdb, react, js	yes	linux	yes	tessel	yes	experimenting	no	economic risk, budget	yes	looking for affordable option	no		yes
56		3	en	male	göttingen	niedersachsen	germany	biomedical sciences, neuroscience	masters	yes	institute of auditory neuroscience, international max planck research school for neuroscience	researcher	biology	6					none	none		none	none																		
57		3	en	female	brooklyn	ny	usa	biochemistry	bachelors of science	yes	opentrons labworks, inc	non-administrative/non-academic work	other	3					none	none		none	none																		
58		1	en	male																																					
59		2	en					biology	phd				arts																												
60		1	en	female	makassar	south sulawesi	indonesia																																		
61	2019-01-18 16:43:04	8	en	male				biology	phd	yes	university of sheffield	professor	biology	15	satisfactory			2-photon microscope	electrophysiology rig	custom behaviour rig	2-photon microscope	none	none	no			yes	imagej and associated plugins	yes	imagej	no		yes	if it was cheaper	yes	cheaper, plus we would understand how it works and how to fix it	yes	just to try out new things	yes	not completely from scratch, but assembled a sutter mom 2-photon microscope according to manufacturer's instructions. re-created some custom equipment designed by my previous lab.	yes
62			en																																						
63	2019-01-18 19:18:20	8	en	male	helsinki	uusimaa	finland	biochemistry	phd	yes	university of helsinki	researcher	biology	14	satisfactory	the university and departments supply cutting edge equipment as well as training by specialist.		luminometer - plate reader	ccd camera	thermocycles	fluorometer	system for behavioral analysis by touch for small rodents	small colorimeter	no			yes	"imagej /fiji
jasp
rasmol"	yes	"imagej
"	no		yes	as long as the maintenance is provided and the price is reasonable.	no	i have no background and little time to get the skills.	yes	just to try out new things	no		no
64		3	en	male				ingeneering	technician / associates	no		non-administrative/non-academic work	engineering	10					none	none		none	none																		
65		3	en	male	seattle			neuroscience	phd	yes	allen institute	researcher	biology	10					none	none		none	none																		
66		3	en	male			spain	biomedical engineering	masters	yes	university of zaragoza	researcher	engineering	3					none	none		none	none																		
67		3	en	male	vienna		austria	neuroscience	phd	yes	ist austria	researcher	biology	9					none	none		none	none																		
68	2019-01-19 00:07:27	8	en	male	makassar	south sulawesi	indonesia	pharmaceutical 	specialization (after undergrad studies)	yes	indonesian food and drug national agency	student	pharmacy	4	partially satisfactory	in my past undergraduate university, we don’t have many sophisticated equipment to conduct some research and if we manage to buy one sometime the university couldn’t maintain it properly.	certain types of equipment are not available	uv-vis spectrometer 	elisa reader	thermocycler	fluorescence imaging tools	dna manipulation tools	none	yes	fluorescence elisa reader	equipment unavailable (other reasons than being broken)	no		no		no		yes	sometimes new brands products offer a lower price even with their latest technology innovations.	yes	because by that way i could freely design my desire laboratory for what i intend to perform in the future.	yes	looking for affordable option	no		yes
69	2019-01-19 00:48:48	8	en	female	east lansing	mi	united states	computer science, ecology, and evolutionary biology	specialization (after undergrad studies)	yes	michigan state university, software carpentry, international society for artificial life	student	computer science	7	partially satisfactory	we have access to a nice high performance computing cluster, but sometimes it has issues	the amount of time necessary to repair/calibrate existing equipment	laptop	high performance computing cluster	additional monitor	new laptop	upgrades to cluster in terms of speed and memory	tablet	no			yes	linux mint, system 76 hardware, python, r, clang, centos, git, emscripten, all the software we write	yes	python, r, clang, centos, git, emscripten, all the software we write	yes	memic plates	yes	why not?	no	"really my answer should be ""undecided."" i might try it if it seemed simple enough, but the reason i'm a computer scientist (rather than a computer engineer or wet lab/field biologist) is that when i try to build things with my hands in the physical world it tends to go horribly wrong."	yes	just to try out new things	no		yes
70	2019-01-19 01:26:41	8	pt-br	male	são paulo	são paulo	brasil	bioquímica e biologia molecular	specialization (after undergrad studies)	yes	empresa privada de pesquisa e universidade	student	other	3	unsatisfactory	equipamentos subutilizados. superproteção ao acesso devido a receios de danos a equipamentos triviais. acesso condicionado à cooperacões e afinidades entre pis que se dão ao acaso na perspectiva do usuário. prática de preços abusivos dos fornecedores para equipamentos relativamente simples, influenciando negativamente na permissão de acesso aos mesmos devido ao risco de perda relativa do valor investido devido à defeitos e mau funcionamento que decorrem naturalmente devido ao uso. assistência técnica lenta e cara.	other	fluxo laminar	pcr	incubadoras/shakers	leitor de absorbância de microplacas de 96 poços com flexibilidade de comprimento de ondas	termociclador em tempo real	termociclador	yes	leitor de absorbância de microplacas de 96 poços	equipment unavailable (other reasons than being broken)	yes	centrífuga, shaker (agitador de erlenmeyers + incubadora), incubadora de fotoperíodo, incubadora, máquina de gelo, análise de fotos em câmara de isolamento de luz ambiente via software imagej para substituição de medições de absorbância no visível 	yes	cuba de eletroforese, bioreator de microalgas, centrífuga, impressora 3d, bioimpressora 3d	yes	openpcr, openrtqpcr, ninjapcr, opentrons (não é tão open assim), produtos da rodeo, minipcr, alguns produtos da odin	yes	um openrtqpcr, minipcr e equipamentos menos complexos que esses de empresas chinesas do alibaba (ex: concentrador, centrífuga refrigerada etc)	yes	acabei de comprar os componentes para um projeto de uma robô pipetador automático. mas consideraria o mesmo para um pcr e um leitor de microplacas se tivesse tempo e recursos.	yes	looking for affordable option	yes	um shaker, uma centrífuga e uma incubadora de fotoperíodo. precisava de uma solução rápida e barata para resolver um problema experimental de modo que não atrasasse experimentos	yes
71			en																																						
72	2019-01-19 04:33:20	8	en	female	makassar	sulawesi selatan	indonesia	i have been high senior school in science departemen. now i am as pharmacy student of hasanuddin university, makassar, indonesia. in pharmacy i learn more aboit pharmacology because i am the asistent of pharmacology and toxicology laboratorium.	other	yes	i am being a member of a muslim organization that ukm ldk mpm unhas for 2 periods or 2 years untill now. 	student	pharmacy	2	partially satisfactory	yes, i choose partiall satiafactory because there are some research equipment that is difficult to acces because its price that is expensive so just a certain person that can use it. not only about that,  there are may good research equipment but it  can not be used because it is broken. then, the sosialization about the equipment is very less. 	certain types of equipment are not available	rotarg evaporator, sentrifuge, 	hplc	pcr	big simplisia oven	big freezer	spray drying	i wouldn't know			i wouldn't know		i wouldn't know		no		maybe	"because, the moodernization always happen and the equipment of research always develops to be the sophisticated
equipment that purpose to help in reserching tobe efficient and has the good result."	yes	because, i am so interesting in research so i want to build a laboratory by myself to research a certain object.	no		no		no
73		1	es	male					masters																																
74	2019-01-19 05:42:27	8	en	female	rome		italy	neuroscience	phd	yes	embl	researcher	biology	4	satisfactory	plenty of equipment for an institute of ~100 researchers, there are seldom problems with booking, and when there is a high demand clashes are usually easily resolved through active communication.		behaviour rooms/associated set ups	facs sorter	stereotaxic surgery machine	semi-automated stereotaxic	nanopumps	fluorescent in situ hybridisation set ups	yes		equipment unavailable (other reasons than being broken)	yes	imagej, r, python, bonsai, solomon coder	yes	imagej, r, python, solomon coder	yes	openephys, ucla miniscope, poseidon (from pachter lab)	yes	usually cheaper and better customer service	yes	cost, and better understanding of internal machinery	no		no		yes
75	2019-01-19 08:33:59	8	en	female			ghana	pharmacy	masters	yes	university of health and allied sciences	researcher	pharmacy	5	unsatisfactory	equipment are inadequate, the ones available are obsolete some have broken parts that needs to be fixed. in conducting research you will have to funderstand equipments in different labs in different towns to use	certain types of equipment are not available	analytical balance	tablet making machine	dissolution apparatus 	tablet making machine	dissolution apparatus 	friabilator	yes	tablet making machine 	equipment unavailable (other reasons than being broken)	yes	openscad, thinker cad, r	yes	python,  r,  	no		yes	provided it works and the reviews are good and has moderate cost 	yes	i would love to incorporate features that might meet my specific need. and building it will allow me fix it when it's broken at some point.	yes	looking for affordable option	yes	my friends and i started building one but it's not complete yet	yes
76		5	en	male				biology	phd	yes	universidad de sevilla	researcher	biology	20	partially satisfactory		certain types of equipment are not available	spectrophotometer	electrophoresis	none	thermocycler	spectrophotometer	chemostats	yes		equipment unavailable (other reasons than being broken)	no		yes	"imagej
phython
"	no										
77		4	en	female	london	london	united kingdom	biology	phd	yes	the francis crick institute	researcher	biology	10	partially satisfactory	there is funding to buy comercial equipment. we also have a making lab, an equipment care unit and a mechanical workshiop but they are unable to build custom made equipment if it requires putting together hardware and electronics.	certain types of equipment are not available	molecular biology equipment	animal behaviour equipment	neuroscience electrophysiology equipment	two photon microscope	gass-chromatography mass spectrometry machine	olfactometer	no																	
78		1	en	male																																					
79		3	en	female	vienna	n/a	austria	biology	masters	yes	ist austria	student	biology	5					none	none		none	none																		
