id--Response_ID	submitdate--Date_submitted	lastpage--Last_page	startlanguage--Start_language	a03--Gender:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a06--City:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a05--State/Province:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a04--Country:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	b02--Formation_or_Concentration:__Please_tell_us_your_educational_background_(biology,_chemistry,_physics,_etc)	b01--Please_tell_us_the_highest_degree_achieved:	b03--Are_you_affiliated_with_any_institutions/groups/organizations?	b04--Could_you_tell_us_which_one(s)?	b05--If_you_are_in_an_academic_institution,_what_is_your_main_occupation:__ 	c01-- __Which_of_these_are_your_main_work_area?	c02--For_how_many_years_have_you_been_working_in_this_area?__ 	e01--How_do_you_perceive_research_equipment_access_inside_your_group/institution?	e03--Could_you_explain_a_bit_your_previous_answer?	e02--Which_of_the_following_do_you_consider_to_be_the_biggest_difficulty_in_equipment_access?	e04[SQ001]--Which_equipments/tools_are_most_used_in_your_lab/workspace?_[Most_used:]	e04[SQ002]--Which_equipments/tools_are_most_used_in_your_lab/workspace?_[Second_most_used_(if_any):]	e04[SQ003]--Which_equipments/tools_are_most_used_in_your_lab/workspace?_[Third_most_used_(if_any):]	e08[SQ001]--If_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_PCR_machine)_[Equipment_1:]	e08[SQ002]--If_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_PCR_machine)_[Equipment_2_(if_any):]	e08[SQ003]--If_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_PCR_machine)_[Equipment_3(if_any):]	e05--Was_there_ever_a_need_to_change_a_project_due_to_problems_related_to_equipment_use/access?	e06--Could_you_tell_us_which_equipment_caused_the_change?_(please_try_to_avoid_acronyms, _use_thermocycler_instead_of_PCR_machine).	e07--In_case_any_projects_had_to_be_changed_due_to_access/problems,_could_you_tell_us_why?	d01--Do_you_use_Open_Technologies*_in_your_work/research/projects?__ __*Any_tools,_code_or_equipment_based_on_open_source_(build,_calibration_plans,_and/or_code_freely_distributed)__ 	d04--Which_ones?_(Please_list_all_that_you_remember._Separate_them_with_commas:_ImageJ,_Python,_Ubuntu,_OpenPCR,_etc)	d02--Do_you_know_anyone_who_is_using_open_technologies?	d05--Could_you_tell_us_what_they_are_using?_(Please_list_all_that_you_remember._Separate_them_with_commas:_ImageJ,_Python,_Ubuntu,_OpenPCR,_etc)	d03--Do_you_know_any_scientific_equipment_that_is_open_source?	d06--Which_ones_(please_list_all_that_you_know/remember._Separate_them_with_commas:_OpenPCR,_OpenEphys,_etc)	f01--Would_you_consider_buying_equipment_from_new_brands?	f08--Could_you_tell_us_why?	f02--Would_you_consider_building_laboratory_equipment_yourself,_if_you_were_given_a_list_of_necessary_components_and_the_building_and_calibration_manuals?	f09--Could_you_tell_us_why?	f03--Have_you_ever_tested_equipment_from_less_known/new_brands?	f04--You_did_it_because:	f05--Have_you_ever_built_laboratory_equipment_yourself?	f06--Could_you_please_tell_us_a_bit_more_about_it?	f07--Would_you_like_to_test_research_equipment_from_new_brands_or_distributed_under_DIY_paradigm?
32			en																																						
33		3	en	Female	Makassar	Sulawesi selatan , Indonesia	Makassar	Etc	Bachelors of science	Yes		Student	Pharmacy	1					none	none		None	None																		
34		1	en	Female	Makassar	Sulawesi selatan	Makassar																																		
35	2019-01-18 11:30:54	8	en	Male	Makassar	South Sulawesi	Indonesia	Pharmacy	PhD	Yes	Hasanuddin University	Researcher	Pharmacy	18	Unsatisfactory	Old or broken equipments	Certain types of equipment are not available	Thermal cycler	none	none	Western Blotting equipments	Fluorescence microscope	Nanoinjector for Drosophila	Yes	Western blotting equipments	Equipment unavailable (other reasons than being broken)	No		No		No		Maybe	As long as the equipments are reliable in giving me a reproducible data (calibrated properly)	Yes	Because it would be cheaper and I will know the fundamental principles of the equipments by contructing them by myself	Yes	Only available brand	No		Yes
36		1	en	Female	Makasaar	Sulawesi selatan	Indonesia		Bachelors of science																																
37			en																																						
38		3	en	Male	Makassar	South Sulawesi	Indonesia	Physiotherapy	Masters	Yes	Hasanuddin University	Researcher	Health	2					none	none		None	None																		
39		1	en	Female																																					
40	2019-01-18 11:52:07	8	en	Male	Surakarta	Jawa Tengah	Indonesia	Medical	Masters	Yes		Researcher	Health	16	Partially satisfactory		Certain types of equipment are not available	Behavioral Test in animal	Brain function in human	Biomedical examination	Animal behavior test	Mobil EEG, GSR	None	Yes			Yes	Image J, Phyton	Yes	Image J, Phyton	Yes	Imaje J, Pyschopy	Yes	If there is a better equipment	Yes	To increase the quality of research	No		No		Yes
41		5	en	Female				Pharmacist	PhD	No		Researcher	Pharmacy	10	Partially satisfactory		Too many users for a small number of equipment/tools	Hplc	none	none	Uplc	Mass spectrophotometer	Elisa reader	No			No		No		No										
42	2019-01-18 12:19:15	8	en	Female	Makassar	South Sulawesi	Indonesia	Public health	PhD	Yes	Unhas	Researcher	Health	13	Unsatisfactory	We have not many research equipment in our institution. The existing is also can be accessed by particular people only 	Certain types of equipment are not available	Spectrophotometer	Autoclave	none	Atomic absorpbtion spectrometer	Elisa reader	Spectrophotometer	Yes	AAS	Equipment unavailable (other reasons than being broken)	No		No		No		Yes	Brand with higher quality but lower in price	Yes	Will be cheaper	No		No		Yes
43	2019-01-18 12:33:15	8	en	Male	Gamboa		Panamá	Engineering, filmmaking, interaction design	PhD	No		Non-administrative/non-academic work	Other	9	Satisfactory	"I just started my own organization (like a week ago) , so all the equipment is just my own.

I did however just quit my job as a professor at NUS with a large part because equipment was incredibly hard to get access to. Like any ""Makerspace"" on campus was pretty much inaccessible to general students and even professors!"		Laptop+microcontroller	Soldering station	Dremel	Laser cutter	High end 3D printer (or suite of them that printed different substrate like resin, filament, paper)	Water jet cutter	Yes	My old workplace wouldn't let us use their 3D printers or laser cutters, so we had to make all our projects for interaction design with the Singapore zoo with hand tools	Equipment unavailable (other reasons than being broken)	Yes	Arduino, uarm	Yes	Opendrop, Arduino, open bci, Ubuntu, lots of small bespoke DIY projects that get released openly	Yes	Open drop, that open source pipetting machine, openbci	Yes	Most of our stuff is new tech anyway	Yes	Yeah that's basically the function of our lab	Yes	Looking for affordable option	Yes	All kinds of projects for physically interacting with wild animals	Yes
44		1	en																																						
45			en																																						
46	2019-01-18 12:59:01	8	en				Germany	Biology	PhD	Yes	University	Professor	Other	26	Satisfactory			microscopes	none	none	better microscopes	None	None	No			Yes	Python, Fiji, 3D printing, Arduino	Yes	Python, Fiji, 3D printing, Arduino	No		Maybe	"Established brands may not necessary have the best solutions (sticking to their business model)
New brands may not yet reached required levels of reliability, support, precision "	Yes	Why not?	No		Yes	more in terms of re-configuring / altering / expanding products from established brands	Yes
47		3	en	Female	Paris	Ille de France	France	Biology	PhD	Yes	ICM	Researcher	Biology	6					none	none		None	None																		
48	2019-01-18 13:51:21	8	en	Male	Paris	Paris	France	Biology	PhD	Yes	ICM_Paris	Researcher	Biology	10	Satisfactory			2Photon scope	Electrophysiology setup	Picospritzer	micromanipulator 	electrical stimulator 	motorized microscope stage	I wouldn't know			Yes	 ImageJ, Python, Ubuntu, R, Inkscape, Gimp, Suite2P, DeepLabCut	I wouldn't know		Yes	OpenPCR, OpenEphys, Openspritzer 	Yes	Yes,only if the equipment is superior in quality, post sales service and in terms of software adaptability. Also, if the knowledge required to DIY is way out of my capabilities.	Yes	I want to have as much control over the setups as possible.  	No		No		Yes
49	2019-01-18 14:25:53	8	en	Male	Mainz	Rheinland-pfalz	Germany	Molecular biology, neuroscience	Masters	Yes	Neurowissenschaftliche Gesselschaft (NWG), International Max Planck Research School for Neurosciences	Student	Other	2	Partially satisfactory	Unlimited access to available equipment. Available equipment is quite satisfactory in terms of variety and quality (cutting-edge research equipment). A workshop that can build desired equipment however neither very flexible nor fast. However not a very favourable environment for one's ability to self-create equipment ideas.	Certain types of equipment are not available	Two-photon microscope	Animal behavioural paradigms	Confocal microscope	electrophysiology set-up	an open loop animal behavioural paradigm under a two photon microscope	An optogenetics equipment for behavioural paradigms	I wouldn't know			Yes	ImageJ, Python, Firefox, Inkscape	Yes	ImageJ, Python, Firefox, Inkscape, Ubuntu	No		Maybe	Without proper instructions it is very hard to build equipment, especially if you have a weak background in electronics. However with clear instruction sheets I would love to do all my equipment myself. It is also very fun and stimulating learning experience.	Yes	First of all, it is way cheaper to build and also to maintain the equipment. It is also very fun and stimulating learning experience. 	Yes	Looking for affordable option	Yes	I am trying to build an animal behavioral paradigm with LEDs. I am using Rapsberry-Pi and some websites for how to build such equipment.	Yes
50		3	en	Male				Pharmaceutical sciences	Masters	Yes		Researcher	Pharmacy	9					none	none		None	None																		
51		3	en	Female	Makassar	Indonesia		Pharmacist	Bachelors of science	No		Student	Pharmacy	4					none	none		None	None																		
52	2019-01-18 15:05:13	8	en	Female	Princeton	NJ	United States	Biology	PhD	Yes	Princeton University	Researcher	Biology	10	Satisfactory	There are thing that I want that I cannot afford, but for the most part there are cores that do what I need or I can buy what I need out of my budget. I do wish that there was a way to borrow more things for preliminary experiments. Also every once in a while there is a real problem ore headache. 		Pipets/ consumables/ general molecular bio stuff 	Fly pads/dissecting scopes etc	Confocal microscopes	Light Sheet Microscope (ideally a lattice light sheet)	State of the art DNA/RNA sequencing machine like the new PacBio	liquid handling robot like a qiacube	Yes	Resource availability guides all project choices... 	Equipment unavailable (other reasons than being broken)	Yes	"ImageJ, Python, R, small 3D printer blueprints,

Physically, only little things like 3D printable adaptors or magnetic tube racks. I'm too chicken to undertake building an open source microscope even though I really want to."	Yes	 ImageJ, Python, R, Micro-Manager,	Yes	OpenSPIM,	Maybe	Depends on the expense, type of equipment, and ability to demo. I'd be nervous about buying something big and expensive from someone without a reputation in the field. I'd also be concerned about what happens if the company folds and I need techincal support.	No	I would be willing to build something small, but if the components start to become expensive and the build would take more than a week or so I start to doubt my own abilities. I've watched more than one neighboring lab get caught in a cycle of constantly trying to fix/finish their fancy custom built scopes. It's like being a hobby mechanic, people overestimate their abilities, sink absurd amounts of time and money into a project and end up with something that never really runs quite right.  	Yes	Looking for affordable option	No		Yes
53		3	en	Female				Biology 	PhD	Yes		Professor	Biology	15					none	none		None	None																		
54	2019-01-18 15:15:51	8	en	Male			Italy	neuroscience, rehabilitation engineering, biorobotics	PhD	Yes	Scuola superiore sant'anna	Researcher	Engineering	3	Satisfactory	We have all the tools and software I have needed so far. Whatever is not available, can usually be bought within 2 or 3 months.		Computer	Robotic hand	data acquisition board	data acquisition board (DAQ)	None	None	No			Yes	Firefox	Yes	Python, Ubuntu, Firefox, ROS	Yes	ImageJ	Yes	If it seems to be able to do the job better and/or at a lower cost and/or more sustainably (longer lifetime, ethically sourced materials, repairability, modularity)	Yes	I work in an institute full of engineers, we build stuff ourselves every day	Yes	Just to try out new things	Yes	very simple electronic equipment for testing (human) subjects' control of a robotic hand	No
55	2019-01-18 15:19:08	8	en	Female	Delhi		India	Computer science	Bachelors of science	Yes		Student	Computer science	4	Satisfactory	Fuctional labs, Linux machines, arduinos, rasp pi		Desktop pc	none	none	Mac pc	None	None	No			Yes	Ubuntu, Python, Grafana, InfluxDB, React, JS	Yes	Linux	Yes	Tessel	Yes	Experimenting	No	Economic risk, budget	Yes	Looking for affordable option	No		Yes
56		3	en	Male	Göttingen	Niedersachsen	Germany	Biomedical Sciences, Neuroscience	Masters	Yes	Institute of Auditory Neuroscience, International Max Planck Research School for Neuroscience	Researcher	Biology	6					none	none		None	None																		
57		3	en	Female	Brooklyn	NY	USA	Biochemistry	Bachelors of science	Yes	Opentrons Labworks, Inc	Non-administrative/non-academic work	Other	3					none	none		None	None																		
58		1	en	Male																																					
59		2	en					Biology	PhD				Arts																												
60		1	en	Female	Makassar	South sulawesi	Indonesia																																		
61	2019-01-18 16:43:04	8	en	Male				Biology	PhD	Yes	University of Sheffield	Professor	Biology	15	Satisfactory			2-photon microscope	electrophysiology rig	custom behaviour rig	2-photon microscope	None	None	No			Yes	ImageJ and associated plugins	Yes	ImageJ	No		Yes	If it was cheaper	Yes	Cheaper, plus we would understand how it works and how to fix it	Yes	Just to try out new things	Yes	Not completely from scratch, but assembled a Sutter MOM 2-photon microscope according to manufacturer's instructions. Re-created some custom equipment designed by my previous lab.	Yes
62			en																																						
63	2019-01-18 19:18:20	8	en	Male	Helsinki	Uusimaa	Finland	Biochemistry	PhD	Yes	University of Helsinki	Researcher	Biology	14	Satisfactory	The university and departments supply cutting edge equipment as well as training by specialist.		luminometer - plate reader	CCD camera	Thermocycles	Fluorometer	System for behavioral analysis by touch for small rodents	Small colorimeter	No			Yes	"ImageJ /FIJI
JASP
RasMol"	Yes	"ImageJ
"	No		Yes	As long as the maintenance is provided and the price is reasonable.	No	I have no background and little time to get the skills.	Yes	Just to try out new things	No		No
64		3	en	Male				Ingeneering	Technician / Associates	No		Non-administrative/non-academic work	Engineering	10					none	none		None	None																		
65		3	en	Male	Seattle			Neuroscience	PhD	Yes	Allen Institute	Researcher	Biology	10					none	none		None	None																		
66		3	en	Male			Spain	Biomedical engineering	Masters	Yes	University of Zaragoza	Researcher	Engineering	3					none	none		None	None																		
67		3	en	Male	Vienna		Austria	Neuroscience	PhD	Yes	IST Austria	Researcher	Biology	9					none	none		None	None																		
68	2019-01-19 00:07:27	8	en	Male	Makassar	South Sulawesi	Indonesia	Pharmaceutical 	Specialization (after undergrad studies)	Yes	Indonesian Food and Drug National Agency	Student	Pharmacy	4	Partially satisfactory	In my past undergraduate university, we don’t have many sophisticated equipment to conduct some research and if we manage to buy one sometime the university couldn’t maintain it properly.	Certain types of equipment are not available	UV-Vis Spectrometer 	Elisa Reader	Thermocycler	Fluorescence Imaging Tools	DNA Manipulation Tools	None	Yes	Fluorescence Elisa Reader	Equipment unavailable (other reasons than being broken)	No		No		No		Yes	Sometimes new brands products offer a lower price even with their latest technology innovations.	Yes	Because by that way I could freely design my desire laboratory for what I intend to perform in the future.	Yes	Looking for affordable option	No		Yes
69	2019-01-19 00:48:48	8	en	Female	East Lansing	MI	United States	Computer science, ecology, and evolutionary biology	Specialization (after undergrad studies)	Yes	Michigan State University, Software Carpentry, International Society for Artificial Life	Student	Computer science	7	Partially satisfactory	We have access to a nice high performance computing cluster, but sometimes it has issues	The amount of time necessary to repair/calibrate existing equipment	Laptop	High performance computing cluster	Additional monitor	New laptop	Upgrades to cluster in terms of speed and memory	Tablet	No			Yes	Linux Mint, System 76 hardware, Python, R, clang, CentOS, git, emscripten, all the software we write	Yes	Python, R, clang, CentOS, git, emscripten, all the software we write	Yes	MEMIC plates	Yes	Why not?	No	"Really my answer should be ""undecided."" I might try it if it seemed simple enough, but the reason I'm a computer scientist (rather than a computer engineer or wet lab/field biologist) is that when I try to build things with my hands in the physical world it tends to go horribly wrong."	Yes	Just to try out new things	No		Yes
70	2019-01-19 01:26:41	8	pt-BR	Male	São Paulo	São Paulo	Brasil	Bioquímica e Biologia Molecular	Specialization (after undergrad studies)	Yes	Empresa privada de pesquisa e Universidade	Student	Other	3	Unsatisfactory	Equipamentos subutilizados. Superproteção ao acesso devido a receios de danos a equipamentos triviais. Acesso condicionado à cooperacões e afinidades entre PIs que se dão ao acaso na perspectiva do usuário. Prática de preços abusivos dos fornecedores para equipamentos relativamente simples, influenciando negativamente na permissão de acesso aos mesmos devido ao risco de perda relativa do valor investido devido à defeitos e mau funcionamento que decorrem naturalmente devido ao uso. Assistência técnica lenta e cara.	Other	Fluxo Laminar	PCR	Incubadoras/Shakers	Leitor de Absorbância de Microplacas de 96 poços com flexibilidade de comprimento de ondas	Termociclador em Tempo Real	Termociclador	Yes	Leitor de Absorbância de microplacas de 96 poços	Equipment unavailable (other reasons than being broken)	Yes	Centrífuga, Shaker (agitador de erlenmeyers + incubadora), Incubadora de Fotoperíodo, Incubadora, Máquina de Gelo, Análise de Fotos em Câmara de isolamento de luz ambiente via software ImageJ para substituição de medições de absorbância no Visível 	Yes	Cuba de eletroforese, bioreator de microalgas, centrífuga, impressora 3D, bioimpressora 3D	Yes	OpenPCR, OpenRTqPCR, NinjaPCR, OpenTrons (não é tão open assim), Produtos da Rodeo, MiniPCR, Alguns produtos da ODIN	Yes	Um OpenRTqPCR, MiniPCR e equipamentos menos complexos que esses de empresas chinesas do Alibaba (ex: concentrador, centrífuga refrigerada etc)	Yes	Acabei de comprar os componentes para um projeto de uma robô pipetador automático. Mas consideraria o mesmo para um PCR e um leitor de microplacas se tivesse tempo e recursos.	Yes	Looking for affordable option	Yes	Um Shaker, uma centrífuga e uma incubadora de fotoperíodo. Precisava de uma solução rápida e barata para resolver um problema experimental de modo que não atrasasse experimentos	Yes
71			en																																						
72	2019-01-19 04:33:20	8	en	Female	Makassar	Sulawesi Selatan	Indonesia	I have been high senior school in science departemen. Now I am as pharmacy student of Hasanuddin University, Makassar, Indonesia. In pharmacy I learn more aboit pharmacology because I am the asistent of pharmacology and toxicology laboratorium.	Other	Yes	I am being a member of a muslim organization that UKM LDK MPM UNHAS for 2 periods or 2 years untill now. 	Student	Pharmacy	2	Partially satisfactory	Yes, I choose partiall satiafactory because there are some research equipment that is difficult to acces because its price that is expensive so just a certain person that can use it. Not only about that,  there are may good research equipment but it  can not be used because it is broken. Then, the sosialization about the equipment is very less. 	Certain types of equipment are not available	Rotarg evaporator, sentrifuge, 	HPLC	PCR	Big simplisia oven	Big freezer	Spray drying	I wouldn't know			I wouldn't know		I wouldn't know		No		Maybe	"Because, the moodernization always happen and the equipment of research always develops to be the sophisticated
equipment that purpose to help in reserching tobe efficient and has the good result."	Yes	Because, I am so interesting in research so I want to build a laboratory by myself to research a certain object.	No		No		No
73		1	es	Male					Masters																																
74	2019-01-19 05:42:27	8	en	Female	Rome		Italy	neuroscience	PhD	Yes	EMBL	Researcher	Biology	4	Satisfactory	Plenty of equipment for an institute of ~100 researchers, there are seldom problems with booking, and when there is a high demand clashes are usually easily resolved through active communication.		behaviour rooms/associated set ups	FACS sorter	stereotaxic surgery machine	semi-automated stereotaxic	nanopumps	fluorescent in situ hybridisation set ups	Yes		Equipment unavailable (other reasons than being broken)	Yes	ImageJ, R, Python, Bonsai, Solomon Coder	Yes	ImageJ, R, Python, Solomon Coder	Yes	OpenEphys, UCLA miniscope, Poseidon (from Pachter lab)	Yes	Usually cheaper and better customer service	Yes	Cost, and better understanding of internal machinery	No		No		Yes
75	2019-01-19 08:33:59	8	en	Female			Ghana	Pharmacy	Masters	Yes	University of health and allied sciences	Researcher	Pharmacy	5	Unsatisfactory	Equipment are inadequate, the ones available are obsolete some have broken parts that needs to be fixed. In conducting research you will have to funderstand equipments in different labs in different towns to use	Certain types of equipment are not available	Analytical balance	Tablet making machine	Dissolution apparatus 	Tablet making machine	Dissolution apparatus 	Friabilator	Yes	Tablet making machine 	Equipment unavailable (other reasons than being broken)	Yes	Openscad, thinker cad, R	Yes	Python,  R,  	No		Yes	Provided it works and the reviews are good and has moderate cost 	Yes	I would love to incorporate features that might meet my specific need. And building it will allow me fix it when it's broken at some point.	Yes	Looking for affordable option	Yes	My friends and I started building one but it's not complete yet	Yes
