Timestamp 	 Gender: 	 Age (years) 	 Country: 	 State: 	 City: 	 Education: 	 Education: 	 Do you have a relationship with any institution? 	 If so, what is the name of this institution? (optional) 	 Occupation: 	 Which of these is your main area (Grand Area)? 	 How many years have you been working in this area? 	 What is your sub-area? 	 Do you use open technologies in the research? 	 Do you know anyone who uses open technologies in research? 	 Do you know of any initiative or equipment that is open source and developed for laboratory use? 	 How do you perceive access to research equipment within your institution? 	 If you consider that there are difficulties related to access to the equipment, in your opinion, what would be the biggest barrier? 	 Could you in a few words tell us the reason? 	 Which equipment (s) does your laboratory most use / need? 	 Has any project ever had to be changed due to lack of access to equipment? 	 If so, which equipment caused the design change? 	 If there has been a project change at the time of execution due to lack of access to the equipment, what is the reason? 	 If you could buy new equipment for the lab today, and money was not a problem, what equipment would it be? 	 Do you consider the option to acquire equipment of new brands feasible? 	 Have you had the opportunity to test new brand equipment? 	 If you have already tested new brand products, you did it because 	 Would you like to have access to test equipment for new and low-cost brands?	
8/22/2018 23:31:11 	 Male 	19	 Brazil 	 Ceará 	 Iguatu 	 Undergraduate - Undergraduate, In progress 	 Biological Sciences 	 Yes, public institution 	 State University of Ceará 	 Student 	 Biology 	 01 - 05 	 Ecology of processes 	 I do not know how to respond 	 Yes 	 No 	 Not satisfactory 	 Certain types of equipment are not available 	 Low investment 		 No 			 Nn I can only define one 	 Maybe 	 No 			
8/22/2018 23:40:24 	 Female 	36	 Brazil 	 RJ 	 Rio de Janeiro 	 Doctoral, Post Doctoral 	 Nutrition 	 Yes, public institution 	 UNIRIO 	 Researcher, Professor 	 Health 	 11 - 15 	 Nutrition 	 Yes 	 Yes 	 No 	 Partially satisfactory 	 Certain types of equipment are not available 	 You need to ask the lab chief to use 	 Dexa 	 Yes 	 Dexa 	 Equipment unavailable (other reasons besides break) 	 Inbody 	 Yes 	 No 			
8/23/2018 0:35:20 	 Female 	38	 Brazil 	 Rio de Janeiro 	 Nova Friburgo 	' Undergraduate - Bachelor''s Degree '	 Biological Sciences 	 Yes, public institution 	 CEDERJ 	 Student 	 Biology 	 06 - 10 	 Modern Physics 	 Yes 	 Yes 	 That I remember, no. 	 Satisfactory 	 Many researchers and few equipment 	 	 Microscopes, magnifying glasses, electrophoresis apparatus, centrifuge. 	 Yes 	 The lack of electrophoresis in the Cell Biology class 	 Equipment unavailable (other reasons besides break), There is no apparatus in the laboratory 	 IRGA 	 Yes 	 Yes 	 For the mark to have been recommended 	 Yes	
8/23/2018 0:46:27 	 Female 	34	 Brazil 	 Rio de Janeiro 	 São José de Ubá 	' Undergraduate - Bachelor''s Degree - Bachelor''s degree '	 Pharmacy / Biological Sciences 	 Yes, public institution 	 Uenf 	 Student 	 Biology 	 01 - 05 		 I do not know how to answer 	 I do not know how to answer 		 I prefer not to comment at the moment 	 Delay in maintenance / repair of the existing equipment 			 I am not aware 		 Why the existing equipment is broken and maintenance is delayed 		 Yes 	 No 			
8/23/2018 0:56:42 	 Female 	23	 Brazil 	 So Paulo 	 Botucatu 	 Undergraduate - Bachelor, In Progress 	 Bioprocess Engineering and Biotechnology 	 Yes, public institution 		 Student 	 Engineering 	 01 - 05 	 Micropropagation of plants 	 I do not know how to answer 	 I do not know how to answer 		 Unsatisfactory 	 Lack of equipment, but not too many researchers 		 Autoclave, pH meter, magnetic stirrer, laminar flow chamber, microwave. 	' I''m not aware '	 	 	 pHmeter, autoclave 	 Maybe 	 No 	 		
8/23/2018 1:08:53 	 Female 	27	 Brazil 	 Rio Grande do Sul 	 São Gabriel 	 PhD, Ongoing 	 Bachelor of Biotechnology 	 Yes, public institution 	 Unipampa 	 Student 	 Biology 	 06 - 10 	 Ecology Microbial 	 Yes 	 Yes 	 Yes 	 Partially satisfactory 	 Delay in maintenance / repair of existing equipment 		 Sequencer, thermocycler 	 No 		 No change in research project was required due to missing or broken equipment 	 Sequencer Illumina 	 Maybe 	 Yes 	 Needed to establish new protocols and / or experiments in the laboratory 	 Yes 	
8/23/2018 1:36:21 	 Male 	30	 Brazil 	 SP 	 Porto Ferreira 	 Master, Ongoing 	 Biosystems Engineer 	 Yes, public institution 	 USP 	 Student, Researcher 	 Engineering 	 06 - 10 	 Systems Agricultural 	 Yes 	 Yes 		 Partially satisfactory 	 Certain types of equipment are not available 	 Some equipment or software need to be purchased and there are no resources for this. 	 Scanner, chlorophyllometers 	 Yes 	 Device for measuring ndvi 	 Equipment unavailable (other reasons besides break) 	 Drone 	 Maybe 	 Yes 	 Looking for a more affordable price 	 Yes	
8/23/2018 1:47:28 	 Female 	37	 Brazil 	 São Paulo 	 São Paulo 	 Undergraduate - Bachelor, Specialization, Doctorate 	 Biomedical 	 Yes, public institution 	 UNIFESP 	 Researcher, Professor 	 Health 	 11 - 15 	 Physiology 	 Yes 	 I do not know how to respond 	 ImageJ (?) 	 Unsatisfactory 	 Certain types of equipment are not available 	 Inaccessibility due to difficulty in scheduling (many users) and / or lack of equipment in the institution. 	 Freezer -80C, real-time PCR, surgical microscope, Odyssey, HPLC 	 No 	 	 	 HPLC coupled to mass 	 Yes 	 Yes 	 For the need to establish new protocols and / or experiments in the laboratory 	 Yes	
8/23/2018 2:19:26 	 Female 	33	 Brazil 	 PB 	 João Pessoa 	 PhD 	 Pharmacy 	 Yes, public institution 		 Professor 	 Biology 	 11 - 15 	 Physiology 	 No 	 Yes 	 No 	 Unsatisfactory 	 No there are multi-user laboratories, the equipment is monopolized by people 		 Flow cytometer 	 Yes 	 Flow cytometer 	 Equipment unavailable (other reasons besides breaking) 	 Flow cytometer 	 Yes 	 No 			
8/23/2018 2:19:42 	 Male 	46	 Brazil 	 MS 	 PONTA PORA 	 PhD, Ongoing 	 COMPUTER SCIENCE 	 Yes, public institution 	 UFMS 	 Professor 	 Computer science 	 26 - 30 	 BIOINFORMATICA 	 Yes 	 Yes 	 YES 	 Satisfactory 	 I do not understand difficulties regarding equipment access 		 DNA SEQUENCER 	 I have no knowledge 		 No changes to the research project were necessary due to missing or broken equipment 	 3D PRINTER and DNA Sequencer 	 Yes 	 No 			
8/23/2018 2:25:26 	 Male 	23	 Brazil 	 Paraná 	 Curitiba 	 Undergraduate - Bachelor, Undergraduate, In progress 	 Biologist 	 Yes, private institution 	 PUC / PR 	 Student 	 Biology 	 01 - 05 	 Herpetology 	 Yes 	 I do not know how to answer 		 Partially satisfactory 	 Certain types of equipment are not available 		 HPSEC 	 I do not know 		 Despite difficulties with equipment, it was not necessary to change any project because we have equipment of collaborators 	 Electronic microscope 	 Maybe 	 No 			
8/23/2018 2:31:17 	 Female 	30	 Brazil 	 Sp 	 Campinas 	 PhD, Ongoing 	 Chemistry 	 Yes, public institution 	 Unicamp 	 Student, Researcher 	 Chemistry 	 06 - 10 	 Organic chemistry 	 No 	 I do not know how to respond 	 No 	 Satisfactory 	 I do not understand difficulties in accessing equipment 		 Rmn 	' I''m not aware '		 Despite difficulties with equipment, it was not necessary to change any project because we have equipment of collaborators 	 Rmn 	 Yes 	 No 			
8/23/2018 2:50:26 	 Female 	25	 Brazil 	 SP 	 Franca 	 Masters 	 Biomedical 	 No 		 Student 	 Pharmacy 	 01 - 05 	 Toxicology 	 Yes 	 Yes 		 Satisfactory 	 I do not understand difficulties with access of equipment 		 icp-ms, lc / ms-ms, cg / ms-ms 	 Yes 	 icp-ms 	 For breakdown of existing equipment and delay in maintenance 	 molecular biology / epigenetic equipment / gwas 	 Yes 	 Yes 	 By brand has been recommended 	 Yes	
8/23/2018 3:31:17 	 Female 	51	 Brazil 	 RS 	 Porto Alegre 	 Specialization 	 Biology prof. 	 Yes, public institution 	 	 Professor 	 Biology 	 11 - 15 	 	 No 	 No 	 	 Unsatisfactory 	 Certain types of equipment are not available 	 cost 	 I do not have a laboratory 	 Yes 	 I do not have a laboratory 	 	 	 Maybe 	 No 	 		
8/23/2018 3:42:20 	 Male 	28	 Brazil 	 RS 	 Pelotas 	 Undergraduate - Baccalaureate, In progress 	 Biotechnology 	 Yes, public institution 	 UFPel 	 Student 	 Biology 	 01 - 05 	 Genetics 	 Yes 	 Yes 		 Partially satisfactory 	 Delay in maintenance / repair of existing equipment 		 Chapel; glassware 	 No 	 	 Breakage of existing equipment and delay in maintenance 	 Chapel; Glassware 	 Yes 	 No 	 		
8/23/2018 3:45:11 	 Female 	21	 Brazil 	 PR 	 Curitiba 	' Undergraduate - Bachelor''s Degree, In Progress '	 Bioprocess Engineering and Biotechnology 	 Yes, public institution 	 Federal University of Paraná 	 Student 	 Biology 	 01 - 05 	 Microbiology and Enzymology 	 I do not know how to answer 	 I do not know how to answer 		 Partially satisfactory 	 Delay in maintenance / repair of existing equipment 			 Yes 		 Due to existing equipment failure and maintenance delay, Equipment unavailable (other reasons besides break) 		 Yes 	 No 			
8/23/2018 3:58:50 	 Female 	21	 Brazil 	 Ceara 	 Caucaia 	' Undergraduate - Bachelor''s Degree, In progress '	 Biotechnologist 	 Yes, public institution 	 Federal University of Cear 	 Student 	 Biotechnology 	 01 - 05 	 Engineering of Bioprocesses / Biochemical Processes 	 Yes 	 I do not know how to answer 	 No 	 Partially satisfactory 	 Certain types of equipment are not available 	 Insufficient funding to obtain necessary equipment 	 Incubators, pH meter, COD digester block, spectrophotometer, centrifuges, distiller, gas chromatograph 	 The logistics of the research had to be changed. 	 HPLC 	 Despite difficulties with equipment, it was not necessary to change any project because we have equipment of collaborators 	 Column for HPLC / Mass Spectrometer 	 Yes 	 No 	 		
8/23/2018 4:02:02 	 Male 	41	 Brazil 	 Rio de Janeiro 	 Nova Friburgo 	 Graduation - Licentiate 		 Yes, public institution 	 Uerj-University of the State of Rio de Janeiro 	 Student 	 Biology 	 01 - 05 		 Yes 	 Do not know answer 	 Not known 	 Unsatisfactory 	 Certain types of equipment are not available 	 Many equipment is not accessible to many researchers and students. 	 Electron Microscopes 	 I do not know 	 	 	 I do not know how to answer 	 Maybe 	 No 	 		
8/23/2018 4:08:34 	 Male 	24	 Brazil 	 Bahia 	 Salvador 	 Specialization 	 Bachelor of Chemistry 	 Yes, public institution 	 Bahia State University (UNEB) 	 Researcher 	 Chemistry 	 01 - 05 	 Chemistry Analytical 	 No 	 No 		 Partially satisfactory 	 Delay in maintenance / repair of existing equipment 		 High Efficiency Liquid Chromatography 	 Yes 	 Lack of Chromatographic Columns 	 Equipment unavailable (other reasons than break) 	 Mass Spectrometry Detector. 	 Yes 	 No 	 		
8/23/2018 4:37:36 	 I prefer not to answer 	26	 Brazil 	 RS 	 Porto Alegre 	 Masters, In progress 	 Researcher 	 Yes, public institution 	 UFRGS 	 Researcher 	 Engineering 	 01 - 05 	 Circular Economy 	 No 	 Yes 	 No ... 	 Partially satisfactory 	 Lack of information regarding the disclosure of available equipment and their respective places, working hours ... 		 Computer, Internet, Printer, Access to scientific articles, Mobile 	 Yes 	 Lack of computer 	 Equipment unavailable (other reasons besides breaking) Despite the difficulties with equipment, it was not necessary to change any project because we have equipment of collaborators 	 Cellular top of line, printer and telescope 	 Yes 	 Yes 	 Looking for a more affordable price 	 Yes	
8/23/2018 4:45:48 	 Male 	20	 Brazil 	 Paraná 	 Two neighbors 	 Undergraduate - Bachelor 	 Student 	 Yes, public institution 	 UTFPR 	 Student 	 Biochemical engineering 	 01 - 05 	 Biochemistry 	 Yes 	 Yes 	 No 	 Not satisfactory 	 Delay in maintenance / repair of existing equipment 		 Spectrophotometer, analytical balance, dbo, shaker, autoclave, fermenter 	 Yes 	 HPLC 	 Due to existing equipment failure and maintenance delay, Equipment unavailable (other reasons besides break) 	 HPLC, Atomic Absorption Spectrophotometer 	 Yes 	 Yes 	 As the only mark currently available 	 Yes	
8/23/2018 11:31:33 	 Female 	53		 RIO DE JANEIRO 	 NOVA IGUAÇU 	 Graduation - Bachelor 	 Biologist 	 No 		 Professor 	 Biology 	 01 - 05 	 Clinical pathology 	 Do not know answer 	 Do not know answer 		 Satisfactory 	 Delay in maintenance / repair of the existing equipment 			 I am not aware 		 Due to existing equipment failure and maintenance delay 		 Maybe 	 No 			
8/23/2018 12:59:04 	 Male 	33	 Brazil 	 Paraná 	 Royalty 	 PhD 	 Biological sciences 	 Yes, public institution 	 Federal Frontier University South 	 Researcher, Professor 	 Biology 	 11 - 15 	 Neuroscience, Chronobiology , Sleep 	 Yes 	 Yes 	 OpenBCI 	 Unsatisfactory 	 No equipment available; There is no recourse for purchase. 	 	 Biological signal amplifiers (Electroencephalogram, electromyogram, electroculogram) 	 Yes 	 OpenBCI 	 failure Due to existing equipment failure and maintenance delay 	 Amplifier (Kit) BrainProducts 64 channels with wireless system. 	 Maybe 	 No 	 		
8/23/2018 13:18:28 	 Male 	32	 Brazil 	 Pará 	 Santarém 	 PhD 	 Biological Sciences 	 Yes, public institution 	 Western Federal University of PArá 	 Researcher, Professor 	 Biology 	 11 - 15 	 Zoology 	 Yes 	 Yes 	 Yes 	 Unsatisfactory 	 Many researchers and few equipment 		 Magnifying glass, Microscopes, Molecular analysis material, GPS, Photo camera 	 Yes 	 Currently my institution has a quantity far below what is necessary to do research 	 By breaking existing equipment and delay in maintenance, equipment unavailable (other reasons besides breaking) 	 set up a suitable laboratory. Practically all the equipment is missing here. 	 Yes 	 Yes 	 Looking for a more affordable price 	 Yes	
8/23/2018 13:49:12 	 Male 	36	 Brazil 	 São Paulo 	 São Paulo 	 Doctoral 	 Physics / Biophysics 	 Yes, public institution 	 USP Institute of Physics 	 Researcher, Professor 	 Physics 	 16 - 20 	 Biophysics 	 Yes 	 Yes 	 Octave, imageJ 	 Unsatisfactory 	 Delay in maintenance / repair of existing equipment 		 DLS, zeta potential, SA	S, calorimetry, fluorimeter 	 Yes 		 Breakage of existing equipment and maintenance delay 	 Plate reader p fluorescence 	 Yes 	 Yes 	 Looking for a more affordable price 	 Yes
8/23/2018 14:08:42 	 Female 	52	 Brazil 	 São Paulo 	 Campinas 	 PhD 	 Medicine 	 Yes, private institution 	 São Leopoldo Mandic School of Medicine Campinas 	 Professional of the operating area 	 Health 	 26 - 30 	 Head and Neck Surgery 	 No 	 Yes 	 Yes 	 Satisfactory 	 I do not understand difficulties regarding access to 			 equipment I do not know 								
8/23/2018 15:26:57 	 Female 	55	 Brazil 	 Rio de Janeiro 	 Nova Friburgo 	 Undergraduate - Undergraduate, In progress 	 Teacher training 	 No 						 Yes 	 Yes 	 No 	 Unsatisfactory 	 Lack of equipment 		 Magnifying glass and microscope 	 Class poorly administered due to lack of equipment or defective. 	 Microscope 	 Due to breakage of existing equipment and maintenance delay, Equipment unavailable (other reasons apart from breakage) 	 All for a quality laboratory for graduation in biology and physical chemistry ... 	 Yes 	 No 	 		
8/23/2018 18:03:00 	 Female 	34	 Brazil 	 Rio de Janeiro 	 Rio de Janeiro 	 PhD 	 Biology 	 Yes, private institution 	 Veiga de Almeida 	 Professor 	 Biology 	 06 - 10 	 Neuroscience 	 Yes 	 Yes 		 Partially satisfactory 	 Many researchers and few equipment 		 Cryostat, HPLC 	 No 		 No change in the research project was required due to missing or broken equipment 	 Mass spectrometer 	 Maybe 	 No 			
8/23/2018 18:53:46 	 Female 	33	 Brazil 	 Sao Paulo 	 Sao Paulo 	 PhD 	 Pharmacy 	 No 		 Administrative professional 	 Biology 	 06 - 10 	 Cell biology 	 No 	 Yes 	 Yes Flypi 	 Unsatisfactory 	 Many researchers and few equipment 		 Pipette, nanodrop, PCR, western blog, laminar flow, incubator 	 I have no knowledge 			 Flow cytometry 	 Maybe 	 Yes 	 For the need to establish new protocols and / or experiments in the laboratory 	 Yes	
8/23/2018 22:04:45 	 Male 	68	 Brazil 	 Sergipe 	 Aracaju 	 PhD 	 Physical Education 	 Yes, private institution 	 Tiradentes University 	 Researcher, Professor 	 Health 	 46 - 50 	 Physiology of the exercise 	 Yes 	 Yes 	 Kinovea 	 Unsatisfactory 	 Certain equipment types are not available 	 Little research tradition in my area. 	 Gas analyzer; isokinetic; DE	A 	 Yes 	 Isokinetic 	 Equipment unavailable (other reasons besides break) 	 already cited 	 Yes 	 Yes 	 For the need to establish new protocols and / or experiments in the laboratory 	 Yes
8/23/2018 22:11:50 	 Male 	23	 Brazil 	 SP 	 SÃO PAULO 	 Undergraduate - Undergraduate, Undergraduate, In progress 	 Undergraduate 	 No 		 Student 	 Biology 	 01 - 05 	 Molecular biology 	 Do not know answer 	 Yes 	 No 	 Unsatisfactory 	 There is no disclosure of how and what equipment can be used. 	 	 Thermocycler and laminar flow 	 No 	 	 	 Spectrophotometer 	 Yes 	 No 	 	 	
8/23/2018 23:06:55 	 Female 	34	 Brazil 	 SC 	 Chapecó 	 PhD 	 Agronomy 	 Yes, public institution 		 Professor 	 Agrarian 	 06 - 10 	 Plant production 	 Yes 	 Yes 	 No 	 Unsatisfactory 	 Researchers they are owners of equipment, simply because they are auxiliary in the organization of the laboratories, creating obstacles for the other colleagues to use. 		 Plant growth chamber 	 Yes 	 Deregulated plant growth chambers, lack of reagents, lack of chromatography standards, 	 Why breakdown of existing equipment and delay in maintenance, Equipment unavailable (other reasons apart from breakage) 	 Growth Chambers of plants 	 Maybe 	 No 			
8/24/2018 2:30:19 	 Male 	34	 Brazil 	 Mato Grosso do Sul 	 Campo Grande 	 Doctoral 	 Physics 	 Yes, public institution 	 UFMS 	 Professor 	 Physics 	 06 - 10 	 Materials Science 	 No 	 No 	 no 	 Unsatisfactory 	 Certain types of equipment are not available 	 There were no actions to acquire sufficient infrastructure during the Lula administration, which invested heavily in the sector. 	 DR	, MEV-FEG, Spectrometers (UV-vis, FTIR, RAman) 	 Yes 	 Thermal Analysis 	 Breakage of existing equipment and delay in maintenance 	 MEV-FEG 	 Yes 	 No 	 	
8/24/2018 2:57:31 	 Male 	35	 Brazil 	 Paraná 	 Curitiba 	 PhD, Ongoing 	 pharmacy 	 Yes, private institution 		 Professor 	 Pharmacy 	 06 - 10 	 Clinical tests 	 Yes 	 Yes 	 no 	 Partially satisfactory 	 Delay in maintenance / repair of existing equipment 		 UPLC, mass spectrometer, biochemistry 	 Yes 	 spectrophotometer 	 lack of inputs 	 mass spectrometer 	 Maybe 	 No 			
8/24/2018 3:11:02 	 Male 	33	 Brazil 	 São Paulo 	 Barueri 	' Undergraduate - Bachelor''s Degree '	 Computer Science 	 No 		 Student 	 Computer Science 	 06 - 10 	 Bioinformatics 	 Yes 	 No 	 No 	 I prefer not to comment at the moment 	 I do not yet use 		 I do not use it yet 	 I do not know 		 No change in the research project was necessary due to lack or breakdown of equipment 	 Do not know 	 Yes 	 No 			
8/24/2018 15:58:46 	 Female 	24	 Brazil 	 Santa Catarina 	 Florianópolis 	 PhD, Ongoing 	 Speech Therapist 	 Yes, public institution 	 UFSC 	 Student, Researcher 	 Health Sciences 	 01 - 05 	 Speech Therapy - Language 	 Yes 	 Yes 	 No 	 Unsatisfactory 	 Lack of resources to obtain them 		 Software for use in language evaluation and therapy, recording and transcription of audio / video, data storage equipment. 	 Yes 	 Lack of audio / video recording / transcription equipment and therapy software. 	 Equipment unavailable (other reasons besides break), Change in planning time 	 Therapy software and language evaluation. 	 Yes 	 No 	 		
8/24/2018 19:34:59 	 Female 	45	 Brazil 	 São Paulo 	 São Paulo 	 PhD 	 Chemical Engineering 	 No 		 Professional of the operational area 	 Engineering 	 21 - 25 	 Food 	 No 	 Yes 	 Yes 	 Unsatisfactory 	 Lack of knowledge 		 Mixers 	 Yes 	 Viscometer 	 Equipment unavailable (other reasons besides break) 	 Chromatograph 	 Maybe 	 No 			
