Gender:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,Gender:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it. [Other],City:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,State/Province:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,Country:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,"Formation or Concentration:  Please tell us your educational background (biology, chemistry, physics, etc)",Please tell us the highest degree achieved:,Please tell us the highest degree achieved: [Other],Are you affiliated with any institutions/groups/organizations?,Could you tell us which one(s)?,"If you are in an academic institution, what is your main occupation:   ",Which of these are your main work area,Which of these are your main work area [Other],For how many years have you been working in this area?   ,How do you perceive research equipment access inside your group/institution?,How do you perceive research equipment access inside your group/institution? [Other],Could you explain a bit your previous answer?,Which of the following do you consider to be the biggest difficulty in equipment access?,Which of the following do you consider to be the biggest difficulty in equipment access? [Other],Which equipments/tools are most used in your lab/workspace? [Most used:],Which equipments/tools are most used in your lab/workspace? [Second most used (if any):],Which equipments/tools are most used in your lab/workspace? [Third most used (if any):],"If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 1:]","If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 2 (if any):]","If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 3(if any):]",Was there ever a need to change a project due to problems related to equipment use/access?,"Could you tell us which equipment caused the change? (please try to avoid acronyms,  use thermocycler instead of PCR machine).","In case any projects had to be changed due to access/problems, could you tell us why?","Do you use Open Technologies* in your work/research/projects?     *Any tools, code or equipment based on open source (build, calibration plans, and/or code freely distributed)   ","Which ones? (Please list all that you remember. Separate them with commas: ImageJ, Python, Ubuntu, OpenPCR, etc)",Do you know anyone who is using open technologies?,"Could you tell us what they are using? (Please list all that you remember. Separate them with commas: ImageJ, Python, Ubuntu, OpenPCR, etc)",Do you know any scientific equipment that is open source?,"Which ones (please list all that you know/remember. Separate them with commas: OpenPCR, OpenEphys, etc)",Would you consider buying equipment from new brands?,Could you tell us why?,"Would you consider building laboratory equipment yourself, if you were given a list of necessary components and the building and calibration manuals?",Could you tell us why?,Have you ever tested equipment from less known/new brands?,You did it because:,Have you ever built laboratory equipment yourself?,Could you please tell us a bit more about it?,Would you like to test research equipment from new brands or distributed under DIY paradigm?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,Makassar,"Sulawesi selatan , Indonesia",Makassar,Etc,Bachelors of science,,Yes,,Student,Pharmacy,,1,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,Makassar,Sulawesi selatan,Makassar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Makassar,South Sulawesi,Indonesia,Pharmacy,PhD,,Yes,Hasanuddin University,Researcher,Pharmacy,,18,Unsatisfactory,,Old or broken equipments,Certain types of equipment are not available,,Thermal cycler,none,none,Western Blotting equipments,Fluorescence microscope,Nanoinjector for Drosophila,Yes,Western blotting equipments,Equipment unavailable (other reasons than being broken),No,,No,,No,,Maybe,As long as the equipments are reliable in giving me a reproducible data (calibrated properly),Yes,Because it would be cheaper and I will know the fundamental principles of the equipments by contructing them by myself,Yes,Only available brand,No,,Yes
Female,,Makasaar,Sulawesi selatan,Indonesia,,Bachelors of science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Makassar,South Sulawesi,Indonesia,Physiotherapy,Masters,,Yes,Hasanuddin University,Researcher,Health,,2,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Surakarta,Jawa Tengah,Indonesia,Medical,Masters,,Yes,,Researcher,Health,,16,Partially satisfactory,,,Certain types of equipment are not available,,Behavioral Test in animal,Brain function in human,Biomedical examination,Animal behavior test,"Mobil EEG, GSR",None,Yes,,,Yes,"Image J, Phyton",Yes,"Image J, Phyton",Yes,"Imaje J, Pyschopy",Yes,If there is a better equipment,Yes,To increase the quality of research,No,,No,,Yes
Female,,,,,Pharmacist,PhD,,No,,Researcher,Pharmacy,,10,Partially satisfactory,,,Too many users for a small number of equipment/tools,,Hplc,none,none,Uplc,Mass spectrophotometer,Elisa reader,No,,,No,,No,,No,,,,,,,,,,
Female,,Makassar,South Sulawesi,Indonesia,Public health,PhD,,Yes,Unhas,Researcher,Health,,13,Unsatisfactory,,We have not many research equipment in our institution. The existing is also can be accessed by particular people only ,Certain types of equipment are not available,,Spectrophotometer,Autoclave,none,Atomic absorpbtion spectrometer,Elisa reader,Spectrophotometer,Yes,AAS,Equipment unavailable (other reasons than being broken),No,,No,,No,,Yes,Brand with higher quality but lower in price,Yes,Will be cheaper,No,,No,,Yes
Male,,Gamboa,,Panamá,"Engineering, filmmaking, interaction design",PhD,,No,,Non-administrative/non-academic work,Other,Interaction design with field biologists,9,Satisfactory,,"I just started my own organization (like a week ago) , so all the equipment is just my own.

I did however just quit my job as a professor at NUS with a large part because equipment was incredibly hard to get access to. Like any ""Makerspace"" on campus was pretty much inaccessible to general students and even professors!",,,Laptop+microcontroller,Soldering station,Dremel,Laser cutter,"High end 3D printer (or suite of them that printed different substrate like resin, filament, paper)",Water jet cutter,Yes,"My old workplace wouldn't let us use their 3D printers or laser cutters, so we had to make all our projects for interaction design with the Singapore zoo with hand tools",Equipment unavailable (other reasons than being broken),Yes,"Arduino, uarm",Yes,"Opendrop, Arduino, open bci, Ubuntu, lots of small bespoke DIY projects that get released openly",Yes,"Open drop, that open source pipetting machine, openbci",Yes,Most of our stuff is new tech anyway,Yes,Yeah that's basically the function of our lab,Yes,Looking for affordable option,Yes,All kinds of projects for physically interacting with wild animals,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Germany,Biology,PhD,,Yes,University,Professor,Other,Neuroscience,26,Satisfactory,,,,,microscopes,none,none,better microscopes,None,None,No,,,Yes,"Python, Fiji, 3D printing, Arduino",Yes,"Python, Fiji, 3D printing, Arduino",No,,Maybe,"Established brands may not necessary have the best solutions (sticking to their business model)
New brands may not yet reached required levels of reliability, support, precision ",Yes,Why not?,No,,Yes,more in terms of re-configuring / altering / expanding products from established brands,Yes
Female,,Paris,Ille de France,France,Biology,PhD,,Yes,ICM,Researcher,Biology,,6,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Paris,Paris,France,Biology,PhD,,Yes,ICM_Paris,Researcher,Biology,,10,Satisfactory,,,,,2Photon scope,Electrophysiology setup,Picospritzer,micromanipulator ,electrical stimulator ,motorized microscope stage,I wouldn't know,,,Yes," ImageJ, Python, Ubuntu, R, Inkscape, Gimp, Suite2P, DeepLabCut",I wouldn't know,,Yes,"OpenPCR, OpenEphys, Openspritzer ",Yes,"Yes,only if the equipment is superior in quality, post sales service and in terms of software adaptability. Also, if the knowledge required to DIY is way out of my capabilities.",Yes,I want to have as much control over the setups as possible.  ,No,,No,,Yes
Male,,Mainz,Rheinland-pfalz,Germany,"Molecular biology, neuroscience",Masters,,Yes,"Neurowissenschaftliche Gesselschaft (NWG), International Max Planck Research School for Neurosciences",Student,Other,Neurosciences,2,Partially satisfactory,,Unlimited access to available equipment. Available equipment is quite satisfactory in terms of variety and quality (cutting-edge research equipment). A workshop that can build desired equipment however neither very flexible nor fast. However not a very favourable environment for one's ability to self-create equipment ideas.,Certain types of equipment are not available,,Two-photon microscope,Animal behavioural paradigms,Confocal microscope,electrophysiology set-up,an open loop animal behavioural paradigm under a two photon microscope,An optogenetics equipment for behavioural paradigms,I wouldn't know,,,Yes,"ImageJ, Python, Firefox, Inkscape",Yes,"ImageJ, Python, Firefox, Inkscape, Ubuntu",No,,Maybe,"Without proper instructions it is very hard to build equipment, especially if you have a weak background in electronics. However with clear instruction sheets I would love to do all my equipment myself. It is also very fun and stimulating learning experience.",Yes,"First of all, it is way cheaper to build and also to maintain the equipment. It is also very fun and stimulating learning experience. ",Yes,Looking for affordable option,Yes,I am trying to build an animal behavioral paradigm with LEDs. I am using Rapsberry-Pi and some websites for how to build such equipment.,Yes
Male,,,,,Pharmaceutical sciences,Masters,,Yes,,Researcher,Pharmacy,,9,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,Makassar,Indonesia,,Pharmacist,Bachelors of science,,No,,Student,Pharmacy,,4,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,Princeton,NJ,United States,Biology,PhD,,Yes,Princeton University,Researcher,Biology,,10,Satisfactory,,"There are thing that I want that I cannot afford, but for the most part there are cores that do what I need or I can buy what I need out of my budget. I do wish that there was a way to borrow more things for preliminary experiments. Also every once in a while there is a real problem ore headache. ",,,Pipets/ consumables/ general molecular bio stuff ,Fly pads/dissecting scopes etc,Confocal microscopes,Light Sheet Microscope (ideally a lattice light sheet),State of the art DNA/RNA sequencing machine like the new PacBio,liquid handling robot like a qiacube,Yes,Resource availability guides all project choices... ,Equipment unavailable (other reasons than being broken),Yes,"ImageJ, Python, R, small 3D printer blueprints,

Physically, only little things like 3D printable adaptors or magnetic tube racks. I'm too chicken to undertake building an open source microscope even though I really want to.",Yes," ImageJ, Python, R, Micro-Manager,",Yes,"OpenSPIM,",Maybe,"Depends on the expense, type of equipment, and ability to demo. I'd be nervous about buying something big and expensive from someone without a reputation in the field. I'd also be concerned about what happens if the company folds and I need techincal support.",No,"I would be willing to build something small, but if the components start to become expensive and the build would take more than a week or so I start to doubt my own abilities. I've watched more than one neighboring lab get caught in a cycle of constantly trying to fix/finish their fancy custom built scopes. It's like being a hobby mechanic, people overestimate their abilities, sink absurd amounts of time and money into a project and end up with something that never really runs quite right.  ",Yes,Looking for affordable option,No,,Yes
Female,,,,,Biology ,PhD,,Yes,,Professor,Biology,,15,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,,,Italy,"neuroscience, rehabilitation engineering, biorobotics",PhD,,Yes,Scuola superiore sant'anna,Researcher,Engineering,,3,Satisfactory,,"We have all the tools and software I have needed so far. Whatever is not available, can usually be bought within 2 or 3 months.",,,Computer,Robotic hand,data acquisition board,data acquisition board (DAQ),None,None,No,,,Yes,Firefox,Yes,"Python, Ubuntu, Firefox, ROS",Yes,ImageJ,Yes,"If it seems to be able to do the job better and/or at a lower cost and/or more sustainably (longer lifetime, ethically sourced materials, repairability, modularity)",Yes,"I work in an institute full of engineers, we build stuff ourselves every day",Yes,Just to try out new things,Yes,very simple electronic equipment for testing (human) subjects' control of a robotic hand,No
Female,,Delhi,,India,Computer science,Bachelors of science,,Yes,,Student,Computer science,,4,Satisfactory,,"Fuctional labs, Linux machines, arduinos, rasp pi",,,Desktop pc,none,none,Mac pc,None,None,No,,,Yes,"Ubuntu, Python, Grafana, InfluxDB, React, JS",Yes,Linux,Yes,Tessel,Yes,Experimenting,No,"Economic risk, budget",Yes,Looking for affordable option,No,,Yes
Male,,Göttingen,Niedersachsen,Germany,"Biomedical Sciences, Neuroscience",Masters,,Yes,"Institute of Auditory Neuroscience, International Max Planck Research School for Neuroscience",Researcher,Biology,,6,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,Brooklyn,NY,USA,Biochemistry,Bachelors of science,,Yes,"Opentrons Labworks, Inc",Non-administrative/non-academic work,Other,Business,3,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Biology,PhD,,,,,Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,Makassar,South sulawesi,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,,,,Biology,PhD,,Yes,University of Sheffield,Professor,Biology,,15,Satisfactory,,,,,2-photon microscope,electrophysiology rig,custom behaviour rig,2-photon microscope,None,None,No,,,Yes,ImageJ and associated plugins,Yes,ImageJ,No,,Yes,If it was cheaper,Yes,"Cheaper, plus we would understand how it works and how to fix it",Yes,Just to try out new things,Yes,"Not completely from scratch, but assembled a Sutter MOM 2-photon microscope according to manufacturer's instructions. Re-created some custom equipment designed by my previous lab.",Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,Helsinki,Uusimaa,Finland,Biochemistry,PhD,,Yes,University of Helsinki,Researcher,Biology,,14,Satisfactory,,The university and departments supply cutting edge equipment as well as training by specialist.,,,luminometer - plate reader,CCD camera,Thermocycles,Fluorometer,System for behavioral analysis by touch for small rodents,Small colorimeter,No,,,Yes,"ImageJ /FIJI
JASP
RasMol",Yes,"ImageJ
",No,,Yes,As long as the maintenance is provided and the price is reasonable.,No,I have no background and little time to get the skills.,Yes,Just to try out new things,No,,No
Male,,,,,Ingeneering,Technician / Associates,,No,,Non-administrative/non-academic work,Engineering,,10,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Seattle,,,Neuroscience,PhD,,Yes,Allen Institute,Researcher,Biology,,10,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,,,Spain,Biomedical engineering,Masters,,Yes,University of Zaragoza,Researcher,Engineering,,3,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Vienna,,Austria,Neuroscience,PhD,,Yes,IST Austria,Researcher,Biology,,9,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Makassar,South Sulawesi,Indonesia,Pharmaceutical ,Specialization (after undergrad studies),,Yes,Indonesian Food and Drug National Agency,Student,Pharmacy,,4,Partially satisfactory,,"In my past undergraduate university, we don’t have many sophisticated equipment to conduct some research and if we manage to buy one sometime the university couldn’t maintain it properly.",Certain types of equipment are not available,,UV-Vis Spectrometer ,Elisa Reader,Thermocycler,Fluorescence Imaging Tools,DNA Manipulation Tools,None,Yes,Fluorescence Elisa Reader,Equipment unavailable (other reasons than being broken),No,,No,,No,,Yes,Sometimes new brands products offer a lower price even with their latest technology innovations.,Yes,Because by that way I could freely design my desire laboratory for what I intend to perform in the future.,Yes,Looking for affordable option,No,,Yes
Female,,East Lansing,MI,United States,"Computer science, ecology, and evolutionary biology",Specialization (after undergrad studies),,Yes,"Michigan State University, Software Carpentry, International Society for Artificial Life",Student,Computer science,,7,Partially satisfactory,,"We have access to a nice high performance computing cluster, but sometimes it has issues",The amount of time necessary to repair/calibrate existing equipment,,Laptop,High performance computing cluster,Additional monitor,New laptop,Upgrades to cluster in terms of speed and memory,Tablet,No,,,Yes,"Linux Mint, System 76 hardware, Python, R, clang, CentOS, git, emscripten, all the software we write",Yes,"Python, R, clang, CentOS, git, emscripten, all the software we write",Yes,MEMIC plates,Yes,Why not?,No,"Really my answer should be ""undecided."" I might try it if it seemed simple enough, but the reason I'm a computer scientist (rather than a computer engineer or wet lab/field biologist) is that when I try to build things with my hands in the physical world it tends to go horribly wrong.",Yes,Just to try out new things,No,,Yes
Male,,São Paulo,São Paulo,Brasil,Bioquímica e Biologia Molecular,Specialization (after undergrad studies),,Yes,Empresa privada de pesquisa e Universidade,Student,Other,Biologia Molecular,3,Unsatisfactory,,"Equipamentos subutilizados. Superproteção ao acesso devido a receios de danos a equipamentos triviais. Acesso condicionado à cooperacões e afinidades entre PIs que se dão ao acaso na perspectiva do usuário. Prática de preços abusivos dos fornecedores para equipamentos relativamente simples, influenciando negativamente na permissão de acesso aos mesmos devido ao risco de perda relativa do valor investido devido à defeitos e mau funcionamento que decorrem naturalmente devido ao uso. Assistência técnica lenta e cara.",Other,Má gestão do acesso pelos PIs das instituições (burocracia exagerada ou completa insensibilidade ao tema),Fluxo Laminar,PCR,Incubadoras/Shakers,Leitor de Absorbância de Microplacas de 96 poços com flexibilidade de comprimento de ondas,Termociclador em Tempo Real,Termociclador,Yes,Leitor de Absorbância de microplacas de 96 poços,Equipment unavailable (other reasons than being broken),Yes,"Centrífuga, Shaker (agitador de erlenmeyers + incubadora), Incubadora de Fotoperíodo, Incubadora, Máquina de Gelo, Análise de Fotos em Câmara de isolamento de luz ambiente via software ImageJ para substituição de medições de absorbância no Visível ",Yes,"Cuba de eletroforese, bioreator de microalgas, centrífuga, impressora 3D, bioimpressora 3D",Yes,"OpenPCR, OpenRTqPCR, NinjaPCR, OpenTrons (não é tão open assim), Produtos da Rodeo, MiniPCR, Alguns produtos da ODIN",Yes,"Um OpenRTqPCR, MiniPCR e equipamentos menos complexos que esses de empresas chinesas do Alibaba (ex: concentrador, centrífuga refrigerada etc)",Yes,Acabei de comprar os componentes para um projeto de uma robô pipetador automático. Mas consideraria o mesmo para um PCR e um leitor de microplacas se tivesse tempo e recursos.,Yes,Looking for affordable option,Yes,"Um Shaker, uma centrífuga e uma incubadora de fotoperíodo. Precisava de uma solução rápida e barata para resolver um problema experimental de modo que não atrasasse experimentos",Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,Makassar,Sulawesi Selatan,Indonesia,"I have been high senior school in science departemen. Now I am as pharmacy student of Hasanuddin University, Makassar, Indonesia. In pharmacy I learn more aboit pharmacology because I am the asistent of pharmacology and toxicology laboratorium.",Other,College student of Pharmacy,Yes,I am being a member of a muslim organization that UKM LDK MPM UNHAS for 2 periods or 2 years untill now. ,Student,Pharmacy,,2,Partially satisfactory,,"Yes, I choose partiall satiafactory because there are some research equipment that is difficult to acces because its price that is expensive so just a certain person that can use it. Not only about that,  there are may good research equipment but it  can not be used because it is broken. Then, the sosialization about the equipment is very less. ",Certain types of equipment are not available,,"Rotarg evaporator, sentrifuge, ",HPLC,PCR,Big simplisia oven,Big freezer,Spray drying,I wouldn't know,,,I wouldn't know,,I wouldn't know,,No,,Maybe,"Because, the moodernization always happen and the equipment of research always develops to be the sophisticated
equipment that purpose to help in reserching tobe efficient and has the good result.",Yes,"Because, I am so interesting in research so I want to build a laboratory by myself to research a certain object.",No,,No,,No
Male,,,,,,Masters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,Rome,,Italy,neuroscience,PhD,,Yes,EMBL,Researcher,Biology,,4,Satisfactory,,"Plenty of equipment for an institute of ~100 researchers, there are seldom problems with booking, and when there is a high demand clashes are usually easily resolved through active communication.",,,behaviour rooms/associated set ups,FACS sorter,stereotaxic surgery machine,semi-automated stereotaxic,nanopumps,fluorescent in situ hybridisation set ups,Yes,,Equipment unavailable (other reasons than being broken),Yes,"ImageJ, R, Python, Bonsai, Solomon Coder",Yes,"ImageJ, R, Python, Solomon Coder",Yes,"OpenEphys, UCLA miniscope, Poseidon (from Pachter lab)",Yes,Usually cheaper and better customer service,Yes,"Cost, and better understanding of internal machinery",No,,No,,Yes
Female,,,,Ghana,Pharmacy,Masters,,Yes,University of health and allied sciences,Researcher,Pharmacy,,5,Unsatisfactory,,"Equipment are inadequate, the ones available are obsolete some have broken parts that needs to be fixed. In conducting research you will have to funderstand equipments in different labs in different towns to use",Certain types of equipment are not available,,Analytical balance,Tablet making machine,Dissolution apparatus ,Tablet making machine,Dissolution apparatus ,Friabilator,Yes,Tablet making machine ,Equipment unavailable (other reasons than being broken),Yes,"Openscad, thinker cad, R",Yes,"Python,  R,  ",No,,Yes,Provided it works and the reviews are good and has moderate cost ,Yes,I would love to incorporate features that might meet my specific need. And building it will allow me fix it when it's broken at some point.,Yes,Looking for affordable option,Yes,My friends and I started building one but it's not complete yet,Yes
Male,,,,,Biology,PhD,,Yes,Universidad de Sevilla,Researcher,Biology,,20,Partially satisfactory,,,Certain types of equipment are not available,,Spectrophotometer,Electrophoresis,none,Thermocycler,Spectrophotometer,Chemostats,Yes,,Equipment unavailable (other reasons than being broken),No,,Yes,"ImageJ
Phython
",No,,,,,,,,,,
Female,,London,London,United Kingdom,Biology,PhD,,Yes,The Francis Crick Institute,Researcher,Biology,,10,Partially satisfactory,,"There is funding to buy comercial equipment. We also have a Making lab, an equipment care unit and a mechanical workshiop but they are unable to build custom made equipment if it requires putting together hardware and electronics.",Certain types of equipment are not available,,Molecular biology equipment,Animal behaviour equipment,Neuroscience electrophysiology equipment,Two photon microscope,Gass-chromatography mass spectrometry machine,Olfactometer,No,,,,,,,,,,,,,,,,,
Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
